study_ID,sample_ID,sample_type,characteristics,platform,normalization_method,annotation_database
GSE7476,GSM180998,tumor,NMIBC,GPL570,affy (rma),hgu133plus2.db
GSE7476,GSM180999,tumor,NMIBC,GPL570,affy (rma),hgu133plus2.db
GSE7476,GSM181000,tumor,MIBC,GPL570,affy (rma),hgu133plus2.db
GSE7476,GSM181001,tumor,MIBC,GPL570,affy (rma),hgu133plus2.db
GSE7476,GSM181002,tumor,MIBC,GPL570,affy (rma),hgu133plus2.db
GSE76211,GSM1976573,tumor,MIBC,GPL17586,oligo (rma),hta20transcriptcluster.db
GSE76211,GSM1976574,tumor,MIBC,GPL17586,oligo (rma),hta20transcriptcluster.db
GSE76211,GSM1976575,tumor,MIBC,GPL17586,oligo (rma),hta20transcriptcluster.db
GSE76211,GSM1976577,non_tumor,non_cancer_individual,GPL17586,oligo (rma),hta20transcriptcluster.db
GSE76211,GSM1976579,non_tumor,non_cancer_individual,GPL17586,oligo (rma),hta20transcriptcluster.db
GSE76211,GSM1976580,non_tumor,non_cancer_individual,GPL17586,oligo (rma),hta20transcriptcluster.db
